,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
40,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4b83ddcbf964a520511431e3,,US,Dallas,United States,,33849,"['Dallas, TX 75205', 'United States']","[{'label': 'display', 'lat': 32.83535398645345, 'lng': -96.79098844528198}]",32.83535398645345,-96.79098844528198,75205,TX,Armstrong Elementary,v-1551745308,
41,"[{'id': '52e81612bcbc57f1066b7a45', 'name': 'Preschool', 'pluralName': 'Preschools', 'shortName': 'Preschool', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4bbc93e9e5b0d13a82646f7c,653 Parkway Blvd,US,Coppell,United States,,27435,"['653 Parkway Blvd', 'Coppell, TX 75019', 'United States']","[{'label': 'display', 'lat': 32.974461, 'lng': -96.972704}]",32.974461,-96.972704,75019,TX,Spanish Schoolhouse,v-1551745308,
42,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d505503747f6dcbb27fb4d4,,US,Heath,United States,,42444,"['Heath, TX 75032', 'United States']","[{'label': 'display', 'lat': 32.837452514804916, 'lng': -96.4722174568768}]",32.837452514804916,-96.4722174568768,75032,TX,Amy Parks Heath Elementary,v-1551745308,
43,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c60a49d1e5cd13afb49a2ed,"Allen, TX 75013",US,Allen,United States,,5115,"['Allen, TX 75013', 'Allen, TX 75013', 'United States']","[{'label': 'display', 'lat': 33.11937488671125, 'lng': -96.7020755829301}]",33.11937488671125,-96.7020755829301,75013,TX,KERR ELEMENTARY,v-1551745308,
44,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c4b312a9c8d2d7fb137a26a,1325 Petaluma Dr,US,Rockwall,United States,,34058,"['1325 Petaluma Dr', 'Rockwall, TX 75087', 'United States']","[{'label': 'display', 'lat': 32.94434733207671, 'lng': -96.46954230616777}]",32.94434733207671,-96.46954230616777,75087,TX,Grace Hartman Elementary School,v-1551745308,
45,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4f15df54e4b0865b0c0444e4,,US,Frisco,United States,,4849,"['Frisco, TX 75034', 'United States']","[{'label': 'display', 'lat': 33.11443225700404, 'lng': -96.79637572431982}]",33.11443225700404,-96.79637572431982,75034,TX,Noel A Smith Elementary,v-1551745308,
46,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4cddac21f8cdb1f7c91f8612,7321 Ledbetter Rd,US,Arlington,United States,,68606,"['7321 Ledbetter Rd', 'Arlington, TX 76001', 'United States']","[{'label': 'display', 'lat': 32.62574697463361, 'lng': -97.16099466761433}]",32.62574697463361,-97.16099466761433,76001,TX,Carol Holt Elementary,v-1551745308,
47,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4e540732183813674736b2be,5701 Scenic Dr,US,Rowlett,United States,,33760,"['5701 Scenic Dr', 'Rowlett, TX 75088', 'United States']","[{'label': 'display', 'lat': 32.91243749335597, 'lng': -96.51020222922199}]",32.91243749335597,-96.51020222922199,75088,TX,Doris Culllins-Lake Pointe Elementary,v-1551745308,
48,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c72d17c4bc4236a7f4bcc7a,,US,Keller,United States,,53021,"['Keller, TX 76248', 'United States']","[{'label': 'display', 'lat': 32.90651218419869, 'lng': -97.24907000984568}]",32.90651218419869,-97.24907000984568,76248,TX,Willis Lane Elementary,v-1551745308,
49,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c811055dc018cfab0d3c16c,,US,Plano,United States,,11611,"['Plano, TX 75074', 'United States']","[{'label': 'display', 'lat': 33.06363651698519, 'lng': -96.6647281857758}]",33.06363651698519,-96.6647281857758,75074,TX,McMcall Elementary Plano Texas,v-1551745308,
